"Number","Name","Latitude","Longitude","District","Public","Total docks"
"R32007","Revere Public Library","42.408088","-71.008942","Revere","Yes","11"
"M32036","Rindge Avenue - O'Neill Library","42.392766","-71.129042","Cambridge","Yes","19"
"C32058","Ring Rd","42.348278385426255","-71.08044855314802","Boston","Yes","15"
"M32035","Rogers St & Land Blvd","42.36575798214837","-71.07699394226073","Cambridge","Yes","19"
"C32047","Roslindale Village - South St","42.287072","-71.127754","Boston","Yes","15"
"C32046","Roslindale Village - Washington St","42.28630716010807","-71.12820532182013","Boston","Yes","15"
"D32008","Rowes Wharf at Atlantic Ave","42.357143","-71.050699","Boston","Yes","15"
"C32001","Roxbury Crossing T Stop - Columbus Ave at Tremont St","42.331184","-71.095171","Boston","Yes","23"
"B32022","Roxbury YMCA - Warren St at MLK Blvd","42.31787329345602","-71.08243077993393","Boston","Yes","10"
"B32002","Ruggles T Stop - Columbus Ave at Melnea Cass Blvd","42.33624444796878","-71.08798563480377","Boston","Yes","18"
"C32031","Ryan Playground - Dorchester Ave at Harbor View St","42.317642","-71.056664","Boston","Yes","0"
"E32007","S Huntington Ave at Heath St","42.32760387040573","-71.11089169979095","Boston","Yes","15"
"C32033","Savin Hill T Stop - S Sydney St at Bay St","42.3106","-71.0539","Boston","Yes","14"
"C32036","Seaport Blvd at Sleeper St","42.35317809186252","-71.04817356923377","Boston","Yes","15"
"B32014","Seaport Hotel - Congress St at Seaport Ln","42.34881026188269","-71.04167744055303","Boston","Yes","19"
"B32007","Seaport Square - Seaport Blvd at Northern Ave","42.35148193460858","-71.04436084628105","Boston","Yes","19"
"M32063","Sennott Park Broadway at Norfolk Street","42.36860524248197","-71.09930185605663","Cambridge","Yes","19"
"D32048","Shawmut Ave at Oak St W","42.34854543411198","-71.06559185315746","Boston","Yes","15"
"E32009","Shawmut T Stop","42.292917","-71.06575","Boston","Yes","19"
"M32047","Sidney Research Campus/Erie Street at Waverly","42.35775309465199","-71.10393404960632","Cambridge","Yes","19"
"D32032","Silber Way","42.34949599514002","-71.10057592391968","Boston","Yes","0"
"M32069","Smith Pl at Wilson Rd","42.39239749145834","-71.15058331757609","Cambridge","Yes","19"
"A32006","Soldiers Field Park - 111 Western Ave","42.364263440638524","-71.1182756971175","Boston","Yes","15"
"S32001","Somerville City Hall","42.386844","-71.09812","Somerville","Yes","19"
"S32036","Somerville City Hall Annex","42.39189811591863","-71.09745375830244","Somerville","Yes","0"
"C32017","South Boston Library - 646 E Broadway","42.335741","-71.03877","Boston","Yes","15"
"A32009","South End Library - Tremont St at W Newton St","42.341332","-71.076847","Boston","Yes","15"
"A32010","South Station - 700 Atlantic Ave","42.352175","-71.055547","Boston","Yes","47"
"D32023","Spaulding Rehabilitation Hospital - Charlestown Navy Yard","42.378338","-71.048927","Boston","Yes","19"
"C32087","Spring St at Powell St","42.277484442008216","-71.16341467955863","Boston","Yes","19"
"K32007","St Mary's","42.346197076555455","-71.10728681087494","Brookline","Yes","15"
"C32024","State Street at Channel Center","42.344137","-71.052608","Boston","Yes","19"
"D32041","Stony Brook T Stop","42.316966","-71.104374","Boston","Yes","15"
