Number,Name,Latitude,Longitude,District,Public,Total docks
M32025,Linear Park - Mass. Ave. at Cameron Ave. ,42.397828,-71.130516,Cambridge,Yes,19
A32004,Longwood Ave at Binney St,42.338629,-71.1065,Boston,Yes,15
M32022,Lower Cambridgeport at Magazine St / Riverside Rd,42.3572185032,-71.113871634,Cambridge,Yes,19
S32013,Magoun Square at Trum Field,42.3977833996,-71.1059400447,Somerville,Yes,15
D32020,Main St at Austin St,42.375603,-71.064608,Boston,Yes,11
D32036,Main St at Baldwin St,42.380857,-71.070629,Boston,Yes,19
V32010,Main St at Beacon St,42.4093300667,-71.0638187829,Everett,Yes,15
D32038,Main St at Thompson Sq,42.3748784674,-71.0638349877,Boston,Yes,15
V32002,Main Street at Carter Street,42.4061515727,-71.0604074505,Everett,Yes,11
K32012,Marion St at Harvard St,42.3397805267,-71.1213335023,Brookline,Yes,15
M32061,Mass Ave at Albany St,42.3613583766,-71.0967027398,Cambridge,Yes,18
M32056,Mass Ave at Hadley/Walden,42.3912097192,-71.1226075516,Cambridge,Yes,19
C32063,Mass Ave T Station,42.3413561577,-71.0833695345,Boston,Yes,16
C32004,Massachusetts Ave at Columbus Ave,42.3405426155,-71.0813884791,Boston,Yes,14
C32050,Mattapan Library,42.2773889,-71.09325,Boston,Yes,15
C32045,Mattapan T Stop,42.267902,-71.093641,Boston,Yes,15
A32030,Maverick Square - Lewis Mall,42.3688440829,-71.0397782922,Boston,Yes,33
A32044,Maverick St at Massport Path,42.3677412231,-71.0333597474,Boston,Yes,15
D32037,Medford St at Charlestown BCYF,42.3804294745,-71.0605572168,Boston,Yes,19
M32006,MIT at Mass Ave / Amherst St,42.3581,-71.093198,Cambridge,Yes,27
M32041,MIT Pacific St at Purrington St,42.3595732011,-71.1012947559,Cambridge,Yes,19
M32005,MIT Stata Center at Vassar St / Main St,42.3621312345,-71.0911560059,Cambridge,Yes,35
M32042,MIT Vassar St,42.3556012133,-71.1039447784,Cambridge,Yes,25
B32023,MLK Blvd at Washington St,42.3214381418,-71.091260612,Boston,Yes,15
C23045,Morton St T,42.2807251429,-71.0861724243,Boston,Yes,15
M32043,Mt Auburn,42.3747862871,-71.1332023144,Cambridge,Yes,19
C32080,Mt. Hope St at Hyde Park Ave,42.2848447244,-71.1187451706,Boston,Yes,19
D32017,Mugar Way at Beacon St,42.3555362849,-71.0728687048,Boston,Yes,19
C32023,Murphy Skating Rink - 1880 Day Blvd,42.336448,-71.023739,Boston,Yes,19
M32045,Museum of Science,42.3676901802,-71.0711628199,Cambridge,Yes,19
A32025,Nashua Street at Red Auerbach Way,42.365673,-71.064263,Boston,Yes,37
B32027,NCAAA - Walnut Ave at Crawford St,42.316902,-71.091946,Boston,Yes,15
D32001,New Balance - 20 Guest St,42.3573292187,-71.1467354,Boston,Yes,15
B32000,Newbury St at Hereford St,42.348717,-71.085954,Boston,Yes,23
C32022,Newmarket Square T Stop - Massachusetts Ave at Newmarket Square,42.326599,-71.066498,Boston,Yes,15
V32001,Norman St at Kelvin St,42.4114322297,-71.0682326509,Everett,Yes,15
C32078,Northbourne Rd at Hyde Park Ave,42.2911803479,-71.11773666,Boston,Yes,19
B32012,Northeastern University - North Parking Lot,42.341814,-71.090179,Boston,Yes,15
D32031,Oak Square - 615 Washington St,42.35057,-71.166491,Boston,Yes,15
B32036,One Brigham Circle,42.3339227014,-71.1044650898,Boston,Yes,15
M32003,One Broadway / Kendall Sq at Main St / 3rd St,42.3622417865,-71.0831107199,Cambridge,Yes,23
M32002,One Kendall Square at Hampshire St / Portland St,42.366277,-71.09169,Cambridge,Yes,19
M32053,One Memorial Drive,42.3616193208,-71.0804355052,Cambridge,Yes,19
A32035,Orient Heights T Stop - Bennington St at Saratoga St,42.386781,-71.006098,Boston,Yes,19
S32009,Packard Ave at Powderhouse Blvd,42.40449,-71.123413,Somerville,Yes,15
A32012,Packard's Corner - Commonwealth Ave at Brighton Ave,42.352261,-71.123831,Boston,Yes,27
A32008,Park Dr at Buswell St,42.347241,-71.105301,Boston,Yes,15
D32042,Park Plaza at Charles St S.,42.3518280689,-71.0678113811,Boston,Yes,19
