Number,Name,Latitude,Longitude,District,Public,Docks,Bikes
C32031,Ryan Playground - Dorchester Ave at Harbor View St,42.317642,-71.056664,Boston,Yes,15,10
E32007,S Huntington Ave at Heath St,42.3276038704,-71.11089169979999,Boston,Yes,15,10
C32033,Savin Hill T Stop - S Sydney St at Bay St,42.3106,-71.0539,Boston,Yes,14,6
C32036,Seaport Blvd at Sleeper St,42.3531780919,-71.0481735692,Boston,Yes,15,9
B32014,Seaport Hotel - Congress St at Seaport Ln,42.3488102619,-71.0416774406,Boston,Yes,19,11
B32007,Seaport Square - Seaport Blvd at Northern Ave,42.3514819346,-71.0443608463,Boston,Yes,19,9
M32063,Sennott Park Broadway at Norfolk Street,42.3686052425,-71.0993018561,Cambridge,Yes,19,14
D32048,Shawmut Ave at Oak St W,42.3485454341,-71.06559185319999,Boston,Yes,15,11
E32009,Shawmut T Stop,42.292916999999996,-71.06575,Boston,Yes,19,9
M32047,Sidney Research Campus/Erie Street at Waverly,42.3577530947,-71.1039340496,Cambridge,Yes,19,5
D32032,Silber Way,42.3494959951,-71.10057592390001,Boston,Yes,19,12
A32006,Soldiers Field Park - 111 Western Ave,42.3642634406,-71.1182756971,Boston,Yes,15,8
S32001,Somerville City Hall,42.386844,-71.09812,Somerville,Yes,15,8
S32036,Somerville City Hall Annex,42.3918981159,-71.0974537583,Somerville,Yes,15,9
S32020,Somerville Hospital,42.3904494902,-71.10855950050001,Somerville,Yes,15,8
C32017,South Boston Library - 646 E Broadway,42.335741,-71.03877,Boston,Yes,15,7
A32009,South End Library - Tremont St at W Newton St,42.341332,-71.076847,Boston,Yes,15,6
A32010,South Station - 700 Atlantic Ave,42.352175,-71.055547,Boston,Yes,47,22
D32023,Spaulding Rehabilitation Hospital - Charlestown Navy Yard,42.378338,-71.048927,Boston,Yes,19,11
C32087,Spring St at Powell St,42.277484441999995,-71.1634146796,Boston,Yes,19,13
K32007,St Mary's,42.3461970766,-71.1072868109,Brookline,Yes,15,8
C32024,State Street at Channel Center,42.344136999999996,-71.05260799999999,Boston,Yes,19,8
D32041,Stony Brook T Stop,42.316966,-71.10437399999999,Boston,Yes,15,9
D32049,Stuart St at Berkeley St,42.3495440311,-71.0724207387,Boston,Yes,19,12
D32011,Stuart St at Charles St,42.351146,-71.066289,Boston,Yes,18,11
D32053,Sullivan Square,42.384452256399996,-71.0751485453,Boston,Yes,19,11
A32013,Surface Rd at India St,42.358155,-71.05216300000001,Boston,Yes,19,10
A32042,Surface Rd at Summer St,42.3529456978,-71.056564008,Boston,Yes,27,19
C32064,Sydney St at Carson St,42.320393743000004,-71.0535540805,Boston,Yes,19,8
C32043,Talbot Ave At Blue Hill Ave,42.2945833,-71.087111,Boston,Yes,15,10
K32008,Tappan St at Brookline Hills MBTA,42.332096063,-71.1284588277,Brookline,Yes,15,4
S32011,Teele Square,42.4023170338,-71.1267112942,Somerville,Yes,15,8
E32011,The Dimock Center,42.3193094318,-71.0963992386,Boston,Yes,16,7
A32033,The Eddy - New St at Sumner St,42.370744,-71.044201,Boston,Yes,15,10
C32028,The Lawn on D,42.344792,-71.044024,Boston,Yes,19,12
D32054,The Overlook at St. Gabriel's,42.3467900835,-71.14549813810001,Boston,Yes,19,7
C32049,Thetford Ave at Norfolk St,42.2862129482,-71.0794293137,Boston,Yes,15,8
M32048,Third at Binney,42.3654448614,-71.0827714205,Cambridge,Yes,15,8
C32000,Tremont St at E Berkeley St,42.345392,-71.069616,Boston,Yes,19,11
B32056,Tremont St at Hamilton Pl,42.3566833497,-71.0616664588,Boston,Yes,19,10
C32056,Tremont St at Northampton St,42.3388955964,-71.0814997561,Boston,Yes,19,9
C32060,Tremont St at W. Dedham St,42.3425491374,-71.0742144939,Boston,Yes,15,11
D32014,Tremont St at West St,42.354979,-71.063348,Boston,Yes,15,5
C32035,Troy Boston,42.343749,-71.062256,Boston,Yes,14,6
A32001,Union Square - Brighton Ave at Cambridge St,42.353334000000004,-71.137313,Boston,Yes,19,12
S32002,Union Square - Somerville,42.379674481,-71.09391324239999,Somerville,Yes,19,12
C32014,University of Massachusetts Boston - Campus Center,42.3121891848,-71.03648586199999,Boston,Yes,19,10
